protocol,flow_duration,total_forward_packets,total_backward_packets,total_forward_packets_length,total_backward_packets_length,forward_packet_length_mean,backward_packet_length_mean,forward_packets_per_second,backward_packets_per_second,forward_iat_mean,backward_iat_mean,flow_iat_mean,flow_packets_per_seconds,flow_bytes_per_seconds,label
17,2468,4,0,1580,0,395.0,0,1620.74554294975,0.0,822.666666666666,0,822.666666666666,1620.74554294975,640194.489465153,DrDoS_DNS
17,133,4,0,5888,0,1472.0,0,30075.1879699248,0.0,44.3333333333333,0,44.3333333333333,30075.1879699248,44270676.6917293,DrDoS_DNS
17,33509,200,0,88000,0,440.0,0,5968.54576382464,0.0,168.386934673366,0,168.386934673366,5968.54576382464,2626160.13608284,DrDoS_DNS
17,288495,200,0,88000,0,440.0,0,693.252915995078,0.0,1449.72361809045,0,1449.72361809045,693.252915995078,305031.283037834,DrDoS_DNS
17,9,2,0,2062,0,1031.0,0,222222.222222222,0.0,9.0,0,9.0,222222.222222222,229111111.111111,DrDoS_DNS
17,35262,200,0,88000,0,440.0,0,5671.82803017412,0.0,177.195979899497,0,177.195979899497,5671.82803017412,2495604.33327661,DrDoS_DNS
17,46,2,0,2240,0,1120.0,0,43478.2608695652,0.0,46.0,0,46.0,43478.2608695652,48695652.173913,DrDoS_DNS
17,11,2,0,2772,0,1386.0,0,181818.181818181,0.0,11.0,0,11.0,181818.181818181,252000000.0,DrDoS_DNS
17,20599,2,2,86,204,43.0,102,97.0920918491188,97.0920918491188,1.0,2,6866.33333333333,194.184183698237,14078.3533181222,BENIGN
17,49,2,0,1012,0,506.0,0,40816.3265306122,0.0,49.0,0,49.0,40816.3265306122,20653061.2244898,DrDoS_DNS
17,1990,4,0,5696,0,1424.0,0,2010.05025125628,0.0,663.333333333333,0,663.333333333333,2010.05025125628,2862311.55778894,DrDoS_DNS
17,3,2,0,1332,0,666.0,0,666666.666666666,0.0,3.0,0,3.0,666666.666666666,444000000.0,DrDoS_DNS
17,20826,2,2,86,118,43.0,59,96.0338038989724,96.0338038989724,1.0,1,6942.0,192.067607797944,9795.44799769518,BENIGN
17,269,2,0,1014,0,507.0,0,7434.94423791821,0.0,269.0,0,269.0,7434.94423791821,3769516.72862453,DrDoS_DNS
17,12,2,0,660,0,330.0,0,166666.666666666,0.0,12.0,0,12.0,166666.666666666,55000000.0,DrDoS_DNS
17,265,4,0,5888,0,1472.0,0,15094.3396226415,0.0,88.3333333333333,0,88.3333333333333,15094.3396226415,22218867.9245283,DrDoS_DNS
17,246,2,0,714,0,357.0,0,8130.081300813,0.0,246.0,0,246.0,8130.081300813,2902439.02439024,DrDoS_DNS
17,30551,200,0,88000,0,440.0,0,6546.43055873784,0.0,153.522613065326,0,153.522613065326,6546.43055873784,2880429.44584465,DrDoS_DNS
17,1,2,0,198,0,99.0,0,2000000.0,0.0,1.0,0,1.0,2000000.0,198000000.0,DrDoS_DNS
17,19228,200,0,88000,0,440.0,0,10401.4978156854,0.0,96.6231155778894,0,96.6231155778894,10401.4978156854,4576659.0389016,DrDoS_DNS
17,31427,200,0,88000,0,440.0,0,6363.95456136443,0.0,157.924623115577,0,157.924623115577,6363.95456136443,2800140.00700035,DrDoS_DNS
17,2,2,0,2376,0,1188.0,0,1000000.0,0.0,2.0,0,2.0,1000000.0,1188000000.0,DrDoS_DNS
17,25573,200,0,88000,0,440.0,0,7820.74844562624,0.0,128.507537688442,0,128.507537688442,7820.74844562624,3441129.31607554,DrDoS_DNS
17,48,2,0,778,0,389.0,0,41666.6666666666,0.0,48.0,0,48.0,41666.6666666666,16208333.3333333,DrDoS_DNS
17,13,2,0,374,0,187.0,0,153846.153846153,0.0,13.0,0,13.0,153846.153846153,28769230.7692307,DrDoS_DNS
17,41,2,0,70,0,35.0,0,48780.487804878,0.0,41.0,0,41.0,48780.487804878,1707317.07317073,DrDoS_DNS
